cell
6.3779997825622559            5.5233478546142578            51.860000610351563     
frac
Ga1          0.000000         0.000000         0.000000    1 1 1
N101         0.250000         0.166667         0.011797    1 1 1
Ga1          0.500000         0.000000         0.000000    1 1 1
N101         0.750000         0.166667         0.011797    1 1 1
Ga1          0.250000         0.500000         0.000000    1 1 1
N101         0.000000         0.666667         0.011797    1 1 1
Ga1          0.750000         0.500000         0.000000    1 1 1
N101         0.500000         0.666667         0.011797    1 1 1
Ga2          0.250000         0.166667         0.050000    1 1 1
N201         0.000000         0.000000         0.061797    1 1 1
Ga2          0.750000         0.166667         0.050000    1 1 1
N201         0.500000         0.000000         0.061797    1 1 1
Ga2          0.000000         0.666667         0.050000    1 1 1
N201         0.250000         0.500000         0.061797    1 1 1
Ga2          0.500000         0.666667         0.050000    1 1 1
N201         0.750000         0.500000         0.061797    1 1 1
Ga1          0.000000         0.000000         0.100000    1 1 1
N101         0.250000         0.166667         0.111797    1 1 1
Ga1          0.500000         0.000000         0.100000    1 1 1
N101         0.750000         0.166667         0.111797    1 1 1
Ga1          0.250000         0.500000         0.100000    1 1 1
N101         0.000000         0.666667         0.111797    1 1 1
Ga1          0.750000         0.500000         0.100000    1 1 1
N101         0.500000         0.666667         0.111797    1 1 1
Ga2          0.250000         0.166667         0.150000    1 1 1
N201         0.000000         0.000000         0.161797    1 1 1
Ga2          0.750000         0.166667         0.150000    1 1 1
N201         0.500000         0.000000         0.161797    1 1 1
Ga2          0.000000         0.666667         0.150000    1 1 1
N201         0.250000         0.500000         0.161797    1 1 1
Ga2          0.500000         0.666667         0.150000    1 1 1
N201         0.750000         0.500000         0.161797    1 1 1
Ga1          0.000000         0.000000         0.200000    1 1 1
N101         0.250000         0.166667         0.211797    1 1 1
Ga1          0.500000         0.000000         0.200000    1 1 1
N101         0.750000         0.166667         0.211797    1 1 1
Ga1          0.250000         0.500000         0.200000    1 1 1
N101         0.000000         0.666667         0.211797    1 1 1
Ga1          0.750000         0.500000         0.200000    1 1 1
N101         0.500000         0.666667         0.211797    1 1 1
Ga2          0.250000         0.166667         0.250000    1 1 1
N201         0.000000         0.000000         0.261797    1 1 1
Ga2          0.750000         0.166667         0.250000    1 1 1
N201         0.500000         0.000000         0.261797    1 1 1
Ga2          0.000000         0.666667         0.250000    1 1 1
N201         0.250000         0.500000         0.261797    1 1 1
Ga2          0.500000         0.666667         0.250000    1 1 1
N201         0.750000         0.500000         0.261797    1 1 1
Ga1          0.000000         0.000000         0.300000    1 1 1
N101         0.250000         0.166667         0.311797    1 1 1
Ga1          0.500000         0.000000         0.300000    1 1 1
N101         0.750000         0.166667         0.311797    1 1 1
Ga1          0.250000         0.500000         0.300000    1 1 1
N101         0.000000         0.666667         0.311797    1 1 1
Ga1          0.750000         0.500000         0.300000    1 1 1
N101         0.500000         0.666667         0.311797    1 1 1
Ga2          0.250000         0.166667         0.350000    1 1 1
N201         0.000000         0.000000         0.361797    1 1 1
Ga2          0.750000         0.166667         0.350000    1 1 1
N201         0.500000         0.000000         0.361797    1 1 1
Ga2          0.000000         0.666667         0.350000    1 1 1
N201         0.250000         0.500000         0.361797    1 1 1
Ga2          0.500000         0.666667         0.350000    1 1 1
N201         0.750000         0.500000         0.361797    1 1 1
Ga1          0.000000         0.000000         0.400000    1 1 1
N103         0.250000         0.166667         0.411797    1 1 1
Ga1          0.500000         0.000000         0.400000    1 1 1
N101         0.750000         0.166667         0.411797    1 1 1
Ga1          0.250000         0.500000         0.400000    1 1 1
N101         0.000000         0.666667         0.411797    1 1 1
Ga1          0.750000         0.500000         0.400000    1 1 1
N101         0.500000         0.666667         0.411797    1 1 1
In2          0.250000         0.166667         0.450000    1 1 1
N203         0.000000         0.000000         0.461797    1 1 1
Ga2          0.750000         0.166667         0.450000    1 1 1
