In         0.000000         0.000000         0.000000
N          0.250000         0.166667         0.011797
Ga         0.500000         0.000000         0.000000
N          0.750000         0.166667         0.011797
Ga         0.250000         0.500000         0.000000
N          0.000000         0.666667         0.011797
In         0.750000         0.500000         0.000000
N          0.500000         0.666667         0.011797
Ga         0.250000         0.166667         0.050000
N          0.000000         0.000000         0.061797
In         0.750000         0.166667         0.050000
N          0.500000         0.000000         0.061797
In         0.000000         0.666667         0.050000
N          0.250000         0.500000         0.061797
Ga         0.500000         0.666667         0.050000
N          0.750000         0.500000         0.061797
Ga         0.000000         0.000000         0.100000
N          0.250000         0.166667         0.111797
Ga         0.500000         0.000000         0.100000
N          0.750000         0.166667         0.111797
In         0.250000         0.500000         0.100000
N          0.000000         0.666667         0.111797
Ga         0.750000         0.500000         0.100000
N          0.500000         0.666667         0.111797
Ga         0.250000         0.166667         0.150000
N          0.000000         0.000000         0.161797
Ga         0.750000         0.166667         0.150000
N          0.500000         0.000000         0.161797
In         0.000000         0.666667         0.150000
N          0.250000         0.500000         0.161797
Ga         0.500000         0.666667         0.150000
N          0.750000         0.500000         0.161797
In         0.000000         0.000000         0.200000
N          0.250000         0.166667         0.211797
In         0.500000         0.000000         0.200000
N          0.750000         0.166667         0.211797
In         0.250000         0.500000         0.200000
N          0.000000         0.666667         0.211797
Ga         0.750000         0.500000         0.200000
N          0.500000         0.666667         0.211797
Ga         0.250000         0.166667         0.250000
N          0.000000         0.000000         0.261797
Ga         0.750000         0.166667         0.250000
N          0.500000         0.000000         0.261797
Ga         0.000000         0.666667         0.250000
N          0.250000         0.500000         0.261797
In         0.500000         0.666667         0.250000
N          0.750000         0.500000         0.261797
In         0.000000         0.000000         0.300000
N          0.250000         0.166667         0.311797
Ga         0.500000         0.000000         0.300000
N          0.750000         0.166667         0.311797
In         0.250000         0.500000         0.300000
N          0.000000         0.666667         0.311797
Ga         0.750000         0.500000         0.300000
N          0.500000         0.666667         0.311797
In         0.250000         0.166667         0.350000
N          0.000000         0.000000         0.361797
In         0.750000         0.166667         0.350000
N          0.500000         0.000000         0.361797
In         0.000000         0.666667         0.350000
N          0.250000         0.500000         0.361797
In         0.500000         0.666667         0.350000
N          0.750000         0.500000         0.361797
Ga         0.000000         0.000000         0.400000
N          0.250000         0.166667         0.411797
Ga         0.500000         0.000000         0.400000
N          0.750000         0.166667         0.411797
In         0.250000         0.500000         0.400000
N          0.000000         0.666667         0.411797
In         0.750000         0.500000         0.400000
N          0.500000         0.666667         0.411797
In         0.250000         0.166667         0.450000
N          0.000000         0.000000         0.461797
Ga         0.750000         0.166667         0.450000
N          0.500000         0.000000         0.461797
Ga         0.000000         0.666667         0.450000
N          0.250000         0.500000         0.461797
Ga         0.500000         0.666667         0.450000
N          0.750000         0.500000         0.461797
Ga         0.000000         0.000000         0.500000
N          0.250000         0.166667         0.511797
Ga         0.500000         0.000000         0.500000
N          0.750000         0.166667         0.511797
Ga         0.250000         0.500000         0.500000
N          0.000000         0.666667         0.511797
Ga         0.750000         0.500000         0.500000
N          0.500000         0.666667         0.511797
Ga         0.250000         0.166667         0.550000
N          0.000000         0.000000         0.561797
Ga         0.750000         0.166667         0.550000
N          0.500000         0.000000         0.561797
