       1       Ga1	  c	 0.000000	0.000000	0.000000	0.00
       2      N101	  c	 0.250000	0.166663	0.012303	0.00
       3       Ga1	  c	 0.500000	1.000000	1.000000	0.00
       4      N101	  c	 0.750000	0.166663	0.012303	0.00
       5       Ga1	  c	 0.250000	0.500000	0.000000	0.00
       6      N101	  c	 1.000000	0.666663	0.012303	0.00
       7       Ga1	  c	 0.750000	0.500000	1.000000	0.00
       8      N101	  c	 0.500000	0.666663	0.012303	0.00
       9       Ga2	  c	 0.250000	0.166658	0.049915	0.00
      10      N201	  c	 0.999999	0.999994	0.062218	0.00
      11       Ga2	  c	 0.750000	0.166658	0.049915	0.00
      12      N201	  c	 0.500001	0.999994	0.062218	0.00
      13       Ga2	  c	 1.000000	0.666658	0.049915	0.00
      14      N201	  c	 0.250000	0.499995	0.062218	0.00
      15       Ga2	  c	 0.500000	0.666658	0.049915	0.00
      16      N201	  c	 0.750000	0.499994	0.062218	0.00
      17       Ga1	  c	 0.999998	0.999989	0.099830	0.00
      18      N101	  c	 0.250000	0.166652	0.112132	0.00
      19       Ga1	  c	 0.500002	0.999989	0.099830	0.00
      20      N101	  c	 0.750000	0.166655	0.112133	0.00
      21       Ga1	  c	 0.250000	0.499991	0.099830	0.00
      22      N101	  c	 0.999998	0.666652	0.112133	0.00
      23       Ga1	  c	 0.750000	0.499989	0.099830	0.00
      24      N101	  c	 0.500002	0.666652	0.112133	0.00
      25       Ga2	  c	 0.250000	0.166647	0.149743	0.00
      26      N201	  c	 0.000004	0.999986	0.162047	0.00
      27       Ga2	  c	 0.750000	0.166652	0.149745	0.00
      28      N201	  c	 0.499996	0.999986	0.162047	0.00
      29       Ga2	  c	 0.999997	0.666646	0.149745	0.00
      30      N201	  c	 0.250000	0.499980	0.162046	0.00
      31       Ga2	  c	 0.500003	0.666646	0.149745	0.00
      32      N201	  c	 0.750000	0.499986	0.162050	0.00
      33       Ga1	  c	 0.000013	0.999983	0.199658	0.00
      34      N101	  c	 0.250000	0.166651	0.211965	0.00
      35       Ga1	  c	 0.499987	0.999983	0.199658	0.00
      36      N101	  c	 0.750000	0.166602	0.211961	0.00
      37       Ga1	  c	 0.250000	0.499970	0.199657	0.00
      38      N101	  c	 0.000034	0.666658	0.211961	0.00
      39       Ga1	  c	 0.750000	0.499982	0.199664	0.00
      40      N101	  c	 0.499966	0.666658	0.211961	0.00
      41       Ga2	  c	 0.250000	0.166656	0.249578	0.00
      42      N201	  c	 0.000049	0.999996	0.261890	0.00
      43       Ga2	  c	 0.750000	0.166552	0.249572	0.00
      44      N201	  c	 0.499951	0.999996	0.261890	0.00
      45       Ga2	  c	 0.000076	0.666672	0.249573	0.00
      46      N201	  c	 0.250000	0.499918	0.261895	0.00
      47       Ga2	  c	 0.499924	0.666672	0.249573	0.00
      48      N201	  c	 0.750000	0.499986	0.261833	0.00
      49       Ga1	  c	 0.000070	0.000015	0.299509	0.00
      50      N101	  c	 0.250000	0.166603	0.311880	0.00
      51       Ga1	  c	 0.499930	0.000015	0.299509	0.00
      52      N101	  c	 0.750000	0.166974	0.311755	0.00
      53       Ga1	  c	 0.250000	0.499852	0.299517	0.00
      54      N101	  c	 0.999737	0.666476	0.311765	0.00
      55       Ga1	  c	 0.750000	0.499995	0.299419	0.00
      56      N101	  c	 0.500263	0.666476	0.311765	0.00
      57       Ga2	  c	 0.250000	0.166615	0.349555	0.00
      58      N201	  c	 0.998728	0.999207	0.361599	0.00
      59       Ga2	  c	 0.750000	0.167328	0.349343	0.00
      60      N201	  c	 0.501272	0.999207	0.361599	0.00
      61       Ga2	  c	 0.999314	0.666283	0.349358	0.00
      62      N201	  c	 0.250000	0.501697	0.361626	0.00
      63       Ga2	  c	 0.500686	0.666283	0.349358	0.00
      64      N201	  c	 0.750000	0.499750	0.361994	0.00
      65       Ga1	  c	 0.997861	0.998506	0.399147	0.00
      66      N103	  c	 0.250000	0.167025	0.409911	0.00
      67       Ga1	  c	 0.502139	0.998506	0.399147	0.00
      68      N101	  c	 0.750000	0.165821	0.412213	0.00
      69       Ga1	  c	 0.250000	0.503524	0.399200	0.00
      70      N101	  c	 0.999767	0.666841	0.412290	0.00
      71       Ga1	  c	 0.750000	0.499337	0.399746	0.00
      72      N101	  c	 0.500233	0.666841	0.412290	0.00
      73       In2	  c	 0.250000	0.167965	0.450125	0.00
      74      N203	  c	 0.986745	0.992428	0.463464	0.00
      75       Ga2	  c	 0.750000	0.164671	0.450069	0.00
      76      N203	  c	 0.513255	0.992428	0.463464	0.00
      77       Ga2	  c	 0.995418	0.667218	0.450223	0.00
      78      N203	  c	 0.250000	0.521313	0.463381	0.00
      79       Ga2	  c	 0.504582	0.667218	0.450223	0.00
      80      N201	  c	 0.750000	0.494792	0.462722	0.00
      81       Ga1	  c	 0.997057	0.998445	0.500970	0.00
      82      N101	  c	 0.250000	0.166951	0.512555	0.00
      83       Ga1	  c	 0.502943	0.998445	0.500970	0.00
      84      N101	  c	 0.750000	0.167726	0.513422	0.00
      85       Ga1	  c	 0.250000	0.504251	0.500928	0.00
      86      N101	  c	 0.998774	0.666082	0.513323	0.00
      87       Ga1	  c	 0.750000	0.499070	0.500581	0.00
      88      N101	  c	 0.501226	0.666082	0.513323	0.00
      89       Ga2	  c	 0.250000	0.166674	0.550407	0.00
      90      N201	  c	 0.000471	0.000265	0.563025	0.00
      91       Ga2	  c	 0.750000	0.167170	0.550931	0.00
      92      N201	  c	 0.499529	0.000265	0.563025	0.00
      93       Ga2	  c	 0.999620	0.666492	0.550867	0.00
      94      N201	  c	 0.250000	0.499463	0.562997	0.00
      95       Ga2	  c	 0.500380	0.666492	0.550867	0.00
      96      N201	  c	 0.750000	0.500181	0.563233	0.00
      97       Ga1	  c	 0.000245	0.000140	0.600654	0.00
      98      N101	  c	 0.250000	0.166759	0.612994	0.00
      99       Ga1	  c	 0.499755	0.000140	0.600654	0.00
     100      N101	  c	 0.750000	0.166483	0.612979	0.00
     101       Ga1	  c	 0.250000	0.499765	0.600635	0.00
     102      N101	  c	 0.000217	0.666782	0.612982	0.00
     103       Ga1	  c	 0.750000	0.500110	0.600785	0.00
     104      N101	  c	 0.499783	0.666782	0.612982	0.00
     105       Ga2	  c	 0.250000	0.166726	0.650602	0.00
     106      N201	  c	 0.000014	0.000035	0.662903	0.00
