       1       Ga1	  c	 0.000000	0.000000	0.000000	0.00
       2      N101	  c	 0.250000	0.166663	0.006155	0.00
       3       Ga1	  c	 0.500000	0.000000	0.000000	0.00
       4      N101	  c	 0.750000	0.166663	0.006155	0.00
       5       Ga1	  c	 0.250000	0.500000	0.000000	0.00
       6      N101	  c	 0.000000	0.666663	0.006155	0.00
       7       Ga1	  c	 0.750000	0.500000	1.000000	0.00
       8      N101	  c	 0.500000	0.666663	0.006155	0.00
       9       Ga2	  c	 0.250000	0.166661	0.024979	0.00
      10      N201	  c	 0.000000	0.999998	0.031134	0.00
      11       Ga2	  c	 0.750000	0.166661	0.024979	0.00
      12      N201	  c	 0.500000	0.999998	0.031134	0.00
      13       Ga2	  c	 0.000000	0.666661	0.024979	0.00
      14      N201	  c	 0.250000	0.499998	0.031134	0.00
      15       Ga2	  c	 0.500000	0.666661	0.024979	0.00
      16      N201	  c	 0.750000	0.499998	0.031134	0.00
      17       Ga1	  c	 0.000000	0.999996	0.049957	0.00
      18      N101	  c	 0.250000	0.166659	0.056112	0.00
      19       Ga1	  c	 0.500000	0.999996	0.049957	0.00
      20      N101	  c	 0.750000	0.166659	0.056112	0.00
      21       Ga1	  c	 0.250000	0.499996	0.049957	0.00
      22      N101	  c	 0.000000	0.666659	0.056112	0.00
      23       Ga1	  c	 0.750000	0.499996	0.049957	0.00
      24      N101	  c	 0.500000	0.666659	0.056112	0.00
      25       Ga2	  c	 0.250000	0.166657	0.074936	0.00
      26      N201	  c	 0.000000	0.999993	0.081091	0.00
      27       Ga2	  c	 0.750000	0.166657	0.074936	0.00
      28      N201	  c	 0.500000	0.999993	0.081091	0.00
      29       Ga2	  c	 0.000000	0.666657	0.074936	0.00
      30      N201	  c	 0.250000	0.499993	0.081091	0.00
      31       Ga2	  c	 0.500000	0.666657	0.074936	0.00
      32      N201	  c	 0.750000	0.499993	0.081091	0.00
      33       Ga1	  c	 0.000000	0.999991	0.099915	0.00
      34      N101	  c	 0.250000	0.166654	0.106070	0.00
      35       Ga1	  c	 0.500000	0.999991	0.099915	0.00
      36      N101	  c	 0.750000	0.166654	0.106070	0.00
      37       Ga1	  c	 0.250000	0.499991	0.099915	0.00
      38      N101	  c	 0.000000	0.666654	0.106070	0.00
      39       Ga1	  c	 0.750000	0.499991	0.099915	0.00
      40      N101	  c	 0.500000	0.666654	0.106070	0.00
      41       Ga2	  c	 0.250000	0.166652	0.124893	0.00
      42      N201	  c	 0.000000	0.999989	0.131048	0.00
      43       Ga2	  c	 0.750000	0.166652	0.124893	0.00
      44      N201	  c	 0.500000	0.999989	0.131048	0.00
      45       Ga2	  c	 0.000000	0.666652	0.124893	0.00
      46      N201	  c	 0.250000	0.499989	0.131048	0.00
      47       Ga2	  c	 0.500000	0.666652	0.124893	0.00
      48      N201	  c	 0.750000	0.499989	0.131048	0.00
      49       Ga1	  c	 0.000000	0.999986	0.149872	0.00
      50      N101	  c	 0.250000	0.166649	0.156027	0.00
      51       Ga1	  c	 0.500000	0.999986	0.149872	0.00
      52      N101	  c	 0.750000	0.166649	0.156027	0.00
      53       Ga1	  c	 0.250000	0.499986	0.149872	0.00
      54      N101	  c	 0.000000	0.666649	0.156027	0.00
      55       Ga1	  c	 0.750000	0.499986	0.149872	0.00
      56      N101	  c	 0.500000	0.666649	0.156027	0.00
      57       Ga2	  c	 0.250000	0.166647	0.174851	0.00
      58      N201	  c	 0.000000	0.999984	0.181006	0.00
      59       Ga2	  c	 0.750000	0.166647	0.174851	0.00
      60      N201	  c	 0.500000	0.999984	0.181006	0.00
      61       Ga2	  c	 0.000000	0.666647	0.174851	0.00
      62      N201	  c	 0.250000	0.499984	0.181006	0.00
      63       Ga2	  c	 0.500000	0.666647	0.174851	0.00
      64      N201	  c	 0.750000	0.499984	0.181006	0.00
      65       Ga1	  c	 0.000000	0.999982	0.199829	0.00
      66      N101	  c	 0.250000	0.166645	0.205984	0.00
      67       Ga1	  c	 0.500000	0.999982	0.199829	0.00
      68      N101	  c	 0.750000	0.166645	0.205984	0.00
      69       Ga1	  c	 0.250000	0.499982	0.199829	0.00
      70      N101	  c	 0.000000	0.666645	0.205984	0.00
      71       Ga1	  c	 0.750000	0.499982	0.199829	0.00
      72      N101	  c	 0.500000	0.666645	0.205984	0.00
      73       Ga2	  c	 0.250000	0.166643	0.224808	0.00
      74      N201	  c	 0.000000	0.999979	0.230963	0.00
      75       Ga2	  c	 0.750000	0.166643	0.224808	0.00
      76      N201	  c	 0.500000	0.999979	0.230963	0.00
      77       Ga2	  c	 0.000000	0.666643	0.224808	0.00
      78      N201	  c	 0.250000	0.499979	0.230963	0.00
      79       Ga2	  c	 0.500000	0.666643	0.224808	0.00
      80      N201	  c	 0.750000	0.499979	0.230963	0.00
      81       Ga1	  c	 0.000000	0.999977	0.249787	0.00
      82      N101	  c	 0.250000	0.166640	0.255942	0.00
      83       Ga1	  c	 0.500000	0.999977	0.249787	0.00
      84      N101	  c	 0.750000	0.166640	0.255942	0.00
      85       Ga1	  c	 0.250000	0.499977	0.249787	0.00
      86      N101	  c	 0.000000	0.666640	0.255942	0.00
      87       Ga1	  c	 0.750000	0.499977	0.249787	0.00
      88      N101	  c	 0.500000	0.666640	0.255942	0.00
      89       Ga2	  c	 0.250000	0.166638	0.274765	0.00
      90      N201	  c	 0.000000	0.999975	0.280920	0.00
      91       Ga2	  c	 0.750000	0.166638	0.274765	0.00
      92      N201	  c	 0.500000	0.999975	0.280920	0.00
      93       Ga2	  c	 0.000000	0.666638	0.274765	0.00
